Date,Close/Last,Volume,Open,High,Low
12/24/2025,70.20,1596350,70.47,70.58,69.94
12/23/2025,70.30,3517335,69.62,70.36,69.45
12/22/2025,69.73,4491465,69.56,69.85,69.22
12/19/2025,68.03,4003656,67.74,68.20,67.435
12/18/2025,67.19,4713782,67.77,67.9388,67.095
12/17/2025,67.98,7397990,67.22,68.06,66.83
12/16/2025,66.17,6816102,66.75,66.78,65.985
12/15/2025,67.89,6298849,68.49,68.53,67.61
12/12/2025,68.81,5306042,68.87,69.125,68.47
12/11/2025,69.25,8487465,68.59,69.2851,68.31
12/10/2025,70.54,8095997,69.43,70.70,69.125
12/09/2025,69.86,3111311,70.38,70.42,69.66
12/08/2025,70.49,3073438,70.82,71.18,70.265
12/05/2025,71.92,4323622,71.33,72.34,71.31
12/04/2025,71.39,3957519,70.65,71.76,70.345
12/03/2025,70.66,3173580,70.75,71.30,70.37
12/02/2025,70.20,6339600,70.54,71.04,69.72
12/01/2025,71.06,4462822,70.61,71.33,70.61
11/28/2025,71.07,3363812,70.44,71.30,70.44
11/26/2025,70.04,3201792,69.07,70.19,69.05
11/25/2025,69.25,5888764,68.95,69.49,68.26
11/24/2025,70.42,4551343,69.27,70.59,68.85
11/21/2025,69.30,7120456,69.27,69.53,68.58
11/20/2025,70.15,5542189,71.27,71.791,70.02
11/19/2025,70.88,4790201,70.48,70.91,70.11
11/18/2025,72.50,5342950,71.32,72.68,70.91
11/17/2025,71.30,3647372,71.60,71.78,71.285
11/14/2025,71.38,4159910,71.32,71.9573,71.13
11/13/2025,69.85,4174730,70.50,70.54,69.845
11/12/2025,69.79,5070757,71.09,71.0907,69.635
11/11/2025,72.72,3677223,72.43,73.07,72.43
11/10/2025,71.68,2525514,71.59,71.77,70.86
11/07/2025,71.26,3627105,71.28,71.45,70.72
11/06/2025,70.88,4127304,70.62,71.11,70.13
11/05/2025,71.03,3309190,71.68,72.46,70.935
11/04/2025,71.93,3196203,71.92,72.52,71.78
11/03/2025,72.74,4473626,72.56,73.20,72.06
10/31/2025,72.56,7030335,72.57,72.885,72.01
10/30/2025,71.71,2787193,71.39,72.35,71.16
10/29/2025,71.80,4418033,71.81,72.635,71.74
10/28/2025,71.39,4540343,72.05,72.33,71.14
10/27/2025,73.12,4563054,73.21,73.82,72.77
10/24/2025,73.18,6467343,73.67,74.245,73.09
10/23/2025,73.29,9561330,73.11,73.99,72.86
10/22/2025,70.63,14092800,69.52,71.18,69.33
10/21/2025,68.27,10824450,68.05,69.14,67.035
10/20/2025,67.83,6113002,66.98,67.90,66.98
10/17/2025,67.98,5517884,67.72,68.155,67.44
10/16/2025,67.81,7635812,69.12,69.225,67.53
10/15/2025,68.99,4069304,69.71,69.86,68.705
10/14/2025,69.00,5106912,69.15,69.60,68.51
10/13/2025,70.28,4026863,70.31,70.89,69.90
10/10/2025,69.39,8290934,70.77,71.37,69.30
10/09/2025,72.51,4670945,73.81,73.91,72.24
10/08/2025,73.53,4321112,73.52,74.13,73.2507
10/07/2025,73.20,4845818,72.48,73.23,72.219
10/06/2025,72.87,5435365,72.43,73.155,72.24
10/03/2025,71.71,6656999,71.77,72.30,71.63
10/02/2025,71.54,6317193,72.28,72.96,71.28
10/01/2025,73.14,6348575,72.65,73.49,72.455
09/30/2025,73.75,7709063,73.87,74.35,73.40
09/29/2025,74.59,6341186,75.43,75.50,74.315
09/26/2025,77.02,5918355,77.06,78.32,76.93
09/25/2025,76.99,5736664,76.03,77.04,75.55
09/24/2025,76.39,3939925,75.88,76.69,75.58
09/23/2025,75.05,5617586,74.36,75.325,74.33
09/22/2025,73.45,2787110,72.80,73.59,72.72
09/19/2025,73.52,5958124,73.95,74.48,73.33
09/18/2025,74.69,4176191,75.12,75.66,74.28
09/17/2025,74.97,4020229,75.41,75.70,74.67
09/16/2025,75.67,5063882,75.08,75.855,74.80
09/15/2025,74.23,3985454,74.26,74.68,73.9693
09/12/2025,73.31,4990117,74.17,74.45,73.26
09/11/2025,73.00,3876041,73.19,73.55,72.93
09/10/2025,74.71,6039045,74.00,75.05,73.79
09/09/2025,73.39,4228809,73.99,74.52,73.285
09/08/2025,73.04,3943286,73.49,73.54,72.57
09/05/2025,72.63,5101540,73.02,73.02,71.96
09/04/2025,74.18,4503109,73.87,74.55,73.75
09/03/2025,74.83,6270905,75.61,75.83,74.59
09/02/2025,76.76,5380790,76.08,76.96,75.67
08/29/2025,74.84,3510516,75.35,75.45,74.74
08/28/2025,75.24,3522006,74.94,75.67,74.115
08/27/2025,74.68,3322070,74.13,75.11,74.13
08/26/2025,74.05,3174398,74.58,75.12,73.85
08/25/2025,75.75,3175804,75.19,76.12,75.17
08/22/2025,74.64,4873347,74.28,74.73,74.12
08/21/2025,74.13,3185701,73.29,74.405,73.09
08/20/2025,73.52,3858807,73.16,73.63,72.59
08/19/2025,72.30,3423272,72.50,72.75,72.06
08/18/2025,73.17,5247892,72.35,73.625,71.81
08/15/2025,72.80,8046891,72.72,73.225,72.29
08/14/2025,73.74,4551087,73.36,73.78,72.88
08/13/2025,72.46,5653506,72.78,72.83,71.555
08/12/2025,72.95,2939130,73.22,73.58,72.80
08/11/2025,73.80,3307628,73.945,74.23,73.36
08/08/2025,73.30,5793413,73.93,74.40,72.39
08/07/2025,73.42,3578442,74.06,74.54,73.42
08/06/2025,73.79,8908703,76.31,76.84,73.32
08/05/2025,75.02,5894046,75.51,75.75,74.89
08/04/2025,76.11,5326706,75.64,77.16,75.46
08/01/2025,77.46,7087114,79.71,79.83,77.195
07/31/2025,79.59,3817057,79.86,80.42,78.915
07/30/2025,81.04,4957408,80.16,81.13,79.73
07/29/2025,79.80,7928205,77.45,80.24,77.34
07/28/2025,77.17,3796793,76.70,77.24,76.21
07/25/2025,74.85,3287407,76.11,76.11,74.80
07/24/2025,76.09,5938372,75.87,76.34,75.145
07/23/2025,75.28,4811523,74.81,75.33,74.44
07/22/2025,75.35,3946271,75.06,75.47,74.55
07/21/2025,75.59,2884823,75.62,75.91,74.99
07/18/2025,75.93,7583847,76.97,77.31,75.795
07/17/2025,76.16,4350435,75.01,76.2617,74.87
07/16/2025,75.19,6178132,74.21,75.325,73.99
07/15/2025,75.26,5941420,75.31,75.88,74.935
07/14/2025,75.62,7289716,77.27,77.27,75.50
07/11/2025,77.29,4487221,76.09,77.35,76.08
07/10/2025,75.39,6706623,75.37,75.915,74.96
07/09/2025,76.93,3839745,76.45,77.52,76.28
07/08/2025,76.96,4287198,76.18,77.5852,76.05
07/07/2025,76.48,6155001,75.84,76.885,75.57
07/03/2025,75.19,4394797,75.41,75.92,74.875
07/02/2025,75.59,6491408,74.32,76.02,73.51
07/01/2025,73.93,4425153,73.61,74.04,73.32
06/30/2025,73.11,5917478,73.48,73.63,72.72
