Date,SPY,QQQ,TLT,GLD,USO
12/24/2025,690.38,623.93,88.03,411.93,70.2
12/23/2025,687.96,622.11,87.5,413.64,70.3
12/22/2025,684.83,619.21,87.36,408.23,69.73
12/19/2025,680.59,617.05,87.55,399.02,68.03
12/18/2025,676.47,609.11,88.22,398.57,67.19
12/17/2025,671.4,600.41,87.8,399.29,67.98
12/16/2025,678.87,611.75,87.88,395.89,66.17
12/15/2025,680.73,610.54,87.4,395.8,67.89
12/12/2025,681.76,613.62,87.34,395.44,68.81
12/11/2025,689.17,625.58,88.19,393.24,69.25
12/10/2025,687.57,627.61,88.31,389.05,70.54
12/9/2025,683.04,625.05,87.97,387.4,69.86
12/8/2025,683.63,624.28,87.88,385.42,70.49
12/5/2025,685.69,625.48,88.17,386.44,71.92
12/4/2025,684.39,622.94,88.58,387.13,71.39
12/3/2025,683.89,623.52,89.06,386.88,70.66
12/2/2025,681.53,622,88.81,387.24,70.2
12/1/2025,680.27,617.17,88.77,389.75,71.06
11/28/2025,683.39,619.25,90.21,387.88,71.07
11/26/2025,679.68,614.27,90.64,383.12,70.04
11/25/2025,675.02,608.89,90.24,380.08,69.25
11/24/2025,668.73,605.16,90.01,380.2,70.42
11/21/2025,659.03,590.07,89.5,374.27,69.3
11/20/2025,652.53,585.67,89.23,374.85,70.15
11/19/2025,662.63,599.87,88.88,374.96,70.88
11/18/2025,660.08,596.31,89.06,374.35,72.5
11/17/2025,665.67,603.66,89.09,371.65,71.3
11/14/2025,671.93,608.86,88.87,375.96,71.38
11/13/2025,672.04,608.4,89.38,382.87,69.85
11/12/2025,683.38,621.08,90.12,385.99,69.79
11/11/2025,683,621.57,89.96,379.87,72.72
11/10/2025,681.44,623.23,89.55,378.38,71.68
11/7/2025,670.97,609.74,89.57,368.31,71.26
11/6/2025,670.31,611.67,89.76,366.07,70.88
11/5/2025,677.58,623.28,88.96,366.51,71.03
11/4/2025,675.24,619.25,89.94,362.32,71.93
11/3/2025,683.34,632.08,89.74,368.78,72.74
10/31/2025,682.06,629.07,90.29,368.12,72.56
10/30/2025,679.83,626.05,90.56,370.13,71.71
10/29/2025,687.39,635.77,91.09,363,71.8
10/28/2025,687.06,632.92,92.02,364.38,71.39
10/27/2025,685.24,628.09,91.78,367.01,73.12
10/24/2025,677.25,617.1,91.47,377.52,73.18
10/23/2025,671.76,610.58,91.43,378.79,73.29
10/22/2025,667.8,605.49,92.06,377.28,70.63
10/21/2025,671.29,611.38,92,377.24,68.27
10/20/2025,671.3,611.54,91.55,403.15,67.83
10/17/2025,664.39,603.93,91.2,388.99,67.98
10/16/2025,660.64,599.99,91.34,396.45,67.81
10/15/2025,665.17,602.22,90.66,387.39,68.99
10/14/2025,662.23,598,90.86,380.79,69
10/13/2025,663.04,602.01,90.57,378.09,70.28
10/10/2025,653.02,589.5,90.62,369.12,69.39
10/9/2025,671.16,610.7,89.18,365.43,72.51
10/8/2025,673.11,611.44,89.25,372.3,73.53
10/7/2025,669.12,604.51,89.18,366.26,73.2
10/6/2025,671.61,607.71,88.67,364.38,72.87
10/3/2025,669.21,603.18,89.38,357.64,71.71
10/2/2025,669.22,605.73,89.55,354.79,71.54
10/1/2025,668.45,603.25,89.29,356.03,73.14
9/30/2025,666.18,600.37,89.37,355.47,73.75
9/29/2025,663.68,598.73,89.63,352.46,74.59
9/26/2025,661.82,595.97,88.9,346.74,77.02
9/25/2025,658.05,593.53,88.98,344.75,76.99
9/24/2025,661.1,596.1,88.98,343.32,76.39
9/23/2025,663.21,598.2,89.32,346.46,75.05
9/22/2025,666.84,602.2,88.7,345.05,73.45
9/19/2025,663.7,599.35,89.02,339.18,73.52
9/18/2025,662.26,595.32,89.19,335.62,74.69
9/17/2025,659.18,590,90.12,336.97,74.97
9/16/2025,660,591.18,90.35,339.59,75.67
9/15/2025,660.91,591.68,90.16,338.91,74.23
9/12/2025,657.41,586.66,89.95,335.42,73.31
9/11/2025,657.63,584.08,90.34,334.76,73
9/10/2025,652.21,580.7,89.74,335.26,74.71
9/9/2025,650.33,580.51,89.23,334.06,73.39
9/8/2025,648.83,578.87,89.74,334.82,73.04
9/5/2025,647.24,576.06,88.56,331.05,72.63
9/4/2025,649.12,575.23,87.23,326.69,74.18
9/3/2025,643.74,570.07,86.57,328.14,74.83
9/2/2025,640.27,565.62,85.63,325.59,76.76
8/29/2025,645.05,570.4,86.6,318.07,74.84
8/28/2025,648.92,577.08,87.22,315.03,75.24
8/27/2025,646.63,573.49,86.65,312.71,74.68
8/26/2025,645.16,572.61,86.75,312.08,74.05
8/25/2025,642.47,570.32,86.8,309.83,75.75
8/22/2025,645.31,571.97,87.05,310.58,74.64
8/21/2025,635.55,563.28,86.41,307.29,74.13
8/20/2025,638.11,565.9,86.84,308.36,73.52
8/19/2025,639.81,569.28,86.65,305.27,72.3
8/18/2025,643.3,577.11,86.15,306.95,73.17
8/15/2025,643.44,577.34,86.4,307.43,72.8
8/14/2025,644.95,579.89,87.02,307.25,73.74
8/13/2025,644.89,580.34,87.67,309.21,72.46
8/12/2025,642.69,580.05,86.95,308.27,72.95
8/11/2025,635.92,572.85,87.39,308.55,73.8
8/8/2025,637.18,574.55,87.29,313.05,73.3
8/7/2025,632.25,569.24,87.67,313.12,73.42
8/6/2025,632.78,567.32,87.82,310.5,73.79
8/5/2025,627.97,560.27,88.33,311.16,75.02
8/4/2025,631.17,564.1,88.06,310.91,76.11
8/1/2025,621.72,553.88,87.82,309.11,77.46
7/31/2025,632.08,565.01,86.92,302.96,79.59
7/30/2025,634.46,568.02,86.87,300.96,81.04
7/29/2025,635.26,567.26,87.32,306.25,79.8
7/28/2025,636.94,568.14,85.87,305.41,77.17
7/25/2025,637.1,566.37,86.43,307.4,74.85
7/24/2025,634.42,565.01,85.89,310.27,76.09
7/23/2025,634.21,563.81,86.04,312.18,75.28
7/22/2025,628.86,561.25,86.52,316.1,75.35
7/21/2025,628.77,564.17,86,313.13,75.59
7/18/2025,627.58,561.26,85.24,308.39,75.93
7/17/2025,628.04,561.8,85.11,307.59,76.16
7/16/2025,624.22,557.29,85.13,308.26,75.19
7/15/2025,622.14,556.72,85.01,306.73,75.26
7/14/2025,624.81,556.21,85.61,308.01,75.62
7/11/2025,623.62,554.2,85.79,309.14,77.29
7/10/2025,625.82,555.45,86.99,306.2,75.39
7/9/2025,624.06,556.25,86.93,305.52,76.93
7/8/2025,620.34,552.34,86.03,304.16,76.96
7/7/2025,620.68,552.03,86.14,307.37,76.48
7/3/2025,625.34,556.22,86.97,307.14,75.19
7/2/2025,620.45,550.8,87.58,309.25,75.59
7/1/2025,617.65,546.99,88.14,307.55,73.93
6/30/2025,617.85,551.64,88.25,304.83,73.11
6/27/2025,614.91,548.09,87.39,301.22,73.28
6/26/2025,611.87,546.22,87.95,306.78,73.59
6/25/2025,607.12,541.16,87.51,307.12,73.31
6/24/2025,606.78,539.78,87.4,306.19,73
6/23/2025,600.15,531.65,86.77,311.08,76.41
6/20/2025,594.28,526.83,86.49,310.13,83.12
6/18/2025,597.44,528.99,86.65,310.26,82.27
6/17/2025,597.53,529.08,86.5,311.94,82.3
6/16/2025,602.68,534.29,85.46,311.78,78.59
6/13/2025,597,526.96,86.33,316.29,80.22
6/12/2025,603.75,533.66,87.17,312.2,75.05
6/11/2025,601.36,532.41,86.14,308.37,74.82
6/10/2025,603.08,534.21,85.88,306.71,71.6
